"전라남도","계",372375,98970,108991,83779,49703,20706,10226,381460,102940,104367,87540,52374,23680,10559,389726,106718,100170,90005,55398,26484,10951,396654,109083,95732,93488,58767,28223,11361,406395,109327,92286,99831,62338,30447,12166,411223,107993,94736,96970,66355,32173,12996,420915,110292,98411,93281,69763,34586,14582,434266,116593,102265,89876,72273,37059,16200,445866,121897,104686,86271,75596,39842,17574,459292,128448,105400,83780,80910,42014,18740
"전라남도","남자",144446,46136,45165,30690,15099,5534,1822,149100,48838,43557,32460,16084,6213,1948,153636,51392,42313,33655,17512,6698,2066,157839,53009,41226,35548,18815,7122,2119,163057,53378,40851,38579,20155,7822,2272,166167,52820,42999,37856,21746,8284,2462,171674,54116,45539,36811,23288,9039,2881,179117,57658,48060,35926,24422,9935,3116,185886,60572,49694,35336,26043,10822,3419,193842,64438,50421,35472,28330,11478,3703
"전라남도","여자",227929,52834,63826,53089,34604,15172,8404,232360,54102,60810,55080,36290,17467,8611,236090,55326,57857,56350,37886,19786,8885,238815,56074,54506,57940,39952,21101,9242,243338,55949,51435,61252,42183,22625,9894,245056,55173,51737,59114,44609,23889,10534,249241,56176,52872,56470,46475,25547,11701,255149,58935,54205,53950,47851,27124,13084,259980,61325,54992,50935,49553,29020,14155,265450,64010,54979,48308,52580,30536,15037
"경상북도","계",449589,120924,132247,101235,57617,26480,11086,464328,127031,127823,106252,63048,28521,11653,476999,136239,121531,107324,68848,30502,12555,489712,144802,115553,109256,73926,32858,13317,510179,153119,111904,117197,77267,35949,14743,527137,157504,115634,118507,81128,38399,15965,547565,164424,122118,115083,86081,42619,17240,571889,177927,130920,109745,87569,46914,18814,597182,191536,139321,104873,89846,50940,20666,620928,200328,147549,101968,96212,52869,22002
"경상북도","남자",179389,57191,55825,38456,18535,7098,2284,186788,61487,54054,40781,20518,7525,2423,193267,66453,51983,41441,22853,7933,2604,199886,70664,50428,42599,24859,8578,2758,209956,74488,50235,46291,26221,9677,3044,218536,76432,53497,47086,27762,10531,3228,229268,80053,57865,46141,29842,11907,3460,241221,86427,62503,44570,30594,13410,3717,254541,93706,66454,43613,31887,14706,4175,268048,99372,70256,43816,34649,15411,4544
"경상북도","여자",270200,63733,76422,62779,39082,19382,8802,277540,65544,73769,65471,42530,20996,9230,283732,69786,69548,65883,45995,22569,9951,289826,74138,65125,66657,49067,24280,10559,300223,78631,61669,70906,51046,26272,11699,308601,81072,62137,71421,53366,27868,12737,318297,84371,64253,68942,56239,30712,13780,330668,91500,68417,65175,56975,33504,15097,342641,97830,72867,61260,57959,36234,16491,352880,100956,77293,58152,61563,37458,17458
"경상남도","계",429236,126780,122263,92325,54964,24056,8848,446602,133709,121192,96360,59100,26592,9649,462252,143275,117160,99012,63507,28574,10724,478028,150305,114815,102656,67625,31063,11564,502482,160244,115669,108838,70913,34080,12738,521347,164494,121932,110304,74284,36372,13961,546823,174677,128644,110037,78117,39797,15551,578985,193205,137994,106513,81079,43054,17140,609517,209490,144986,104815,84730,46545,18951,641490,222421,154360,105983,89815,48538,20373
"경상남도","남자",167369,59730,50409,33609,16058,5859,1704,176183,64052,50728,35535,17491,6450,1927,184237,69147,49938,36914,19388,6805,2045,192390,72699,50026,38829,21288,7402,2146,205052,78037,51799,41775,22903,8192,2346,214821,80012,55971,42942,24332,8962,2602,228471,85662,60115,43699,26014,10025,2956,244499,94534,64881,43190,27433,11281,3180,260160,102785,68337,43723,29190,12616,3509,277277,109553,73397,45594,31465,13487,3781
"경상남도","여자",261867,67050,71854,58716,38906,18197,7144,270419,69657,70464,60825,41609,20142,7722,278015,74128,67222,62098,44119,21769,8679,285638,77606,64789,63827,46337,23661,9418,297430,82207,63870,67063,48010,25888,10392,306526,84482,65961,67362,49952,27410,11359,318352,89015,68529,66338,52103,29772,12595,334486,98671,73113,63323,53646,31773,13960,349357,106705,76649,61092,55540,33929,15442,364213,112868,80963,60389,58350,35051,16592
"제주특별자치도","계",78780,24161,21211,16309,10061,3830,3208,81870,24836,21348,16932,11037,4567,3150,85350,25949,21606,17506,12016,5186,3087,88582,26373,22000,18485,12821,5776,3127,92578,27266,22748,19357,13485,6475,3247,95639,27300,24007,19658,13862,7458,3354,100020,29187,24599,19860,14407,8190,3777,105763,32476,25390,20056,14940,8802,4099,110977,35575,25554,20319,15777,9394,4358,116426,38332,26151,20963,16435,9829,4716
"제주특별자치도","남자",31117,11679,9334,6241,2777,721,365,32697,12003,9557,6612,3280,861,384,34455,12476,9851,6931,3814,1005,378,36141,12715,10158,7488,4191,1201,388,38227,13235,10570,8010,4596,1431,385,39766,13104,11323,8256,4896,1790,397,42005,14132,11554,8484,5188,2130,517,44922,15839,11899,8721,5454,2438,571,47592,17392,12008,8933,5909,2687,663,50420,18778,12358,9293,6268,2934,789
"제주특별자치도","여자",47663,12482,11877,10068,7284,3109,2843,49173,12833,11791,10320,7757,3706,2766,50895,13473,11755,10575,8202,4181,2709,52441,13658,11842,10997,8630,4575,2739,54351,14031,12178,11347,8889,5044,2862,55873,14196,12684,11402,8966,5668,2957,58015,15055,13045,11376,9219,6060,3260,60841,16637,13491,11335,9486,6364,3528,63385,18183,13546,11386,9868,6707,3695,66006,19554,13793,11670,10167,6895,3927
